city	rank	median	stateMedian	costIndex
San Fransisco, California	1	77,485	60,190	264
New York City, New York	2	52,223	57,369	262
Washington D.C.	3	67,572	67,572	252
Boston, Massachusetts	4	53,583	66,768	215
San Jose, California	5	80,977	60,190	213
Oakland, California	6	54,394	60,190	212
Honolulu, Hawaii	7	63,772	68,020	212
Los Angeles, California	8	48,466	60,190	209
Chicago, Illinois	9	$47,099	56,210	208
Philadelphia, Pennsylvania 	10	56,210	52,007	204
Seattle, Washington	12	70,172	58,405	201
Miami, Florida	13	31,070	46,036	199
Anchorage, Alaska	14	79,045	72,237	188
San Diego, California	15	63,456	60,190	187
Portland, Oregon	16	55,571	50,251	184
Hartford, Connecticut	17	27,417	67,098	183
Denver, Colorado	18	51,089	58,823	182
Pittsburg, Pennsylvania	19	42,004	52,007	181
Baltimore, Maryland	20	42,266	72,483	181